Agency Name,ORI Number
MELVILLE POLICE DEPARTMENT,LA0490700
MER ROUGE POLICE DEPARTMENT,LA0340200
MERMENTAU POLICE DEPARTMENT,LA0010600
MERRYVILLE POLICE DEPARTMENT,LA0060200
MINDEN POLICE DEPARTMENT,LA0600100
MISSISSIPPI RIVER BRIDGE POLICE DEPARTMENT,LA0361300
MONROE POLICE DEPARTMENT,LA0370100
MONTGOMERY POLICE DEPARTMENT,LA0220200
MONTPELIER POLICE DEPARTMENT,LA0460200
MOORINGSPORT POLICE DEPARTMENT,LA0090600
MOREAUVILLE POLICE DEPARTMENT,LA0050600
MORGAN CITY POLICE DEPARTMENT,LA0510300
MORGANZA POLICE DEPARTMENT,LA0390200
MORSE POLICE DEPARTMENT,LA0010700
MOUND POLICE DEPARTMENT,LA0330300
MOUNT LEBANON POLICE DEPARTMENT,LA0070600
NAPOLEONVILLE POLICE DEPARTMENT,LA0040100
NATCHEZ POLICE DEPARTMENT,LA0350900
NATCHITOCHES POLICE DEPARTMENT,LA0350100
NEW IBERIA POLICE DEPARTMENT,LA0230300
NEW LLANO POLICE DEPARTMENT,LA0580200
NEW ORLEANS POLICE DEPARTMENT,LANPD0000
NEW ROADS POLICE DEPARTMENT,LA0390100
NEWELLTON POLICE DEPARTMENT,LA0540100
NOBLE POLICE DEPARTMENT,LA0430600
NORTH HODGE POLICE DEPARTMENT,LA0250300
NORWOOD POLICE DEPARTMENT,LA0190500
OAK GROVE POLICE DEPARTMENT,LA0620100
OAK RIDGE POLICE DEPARTMENT,LA0340500
OAKDALE POLICE DEPARTMENT,LA0020200
OBERLIN POLICE DEPARTMENT,LA0020300
OIL CITY POLICE DEPARTMENT,LA0090300
OLLA POLICE DEPARTMENT,LA0300200
OPELOUSAS POLICE DEPARTMENT,LA0490200
ORLEANS LEVEE BOARD POLICE DEPARTMENT,LA0361400
PALMETTO POLICE DEPARTMENT,LA0491100
PARKS POLICE DEPARTMENT,LA0500300
PATTERSON POLICE DEPARTMENT,LA0510400
PEARL RIVER POLICE DEPARTMENT,LA0520500
PINE PRAIRIE POLICE DEPARTMENT,LA0200400
PINEVILLE POLICE DEPARTMENT,LA0400200
PLAIN DEALING POLICE DEPARTMENT,LA0080300
PLAQUEMINE POLICE DEPARTMENT,LA0240200
PLAUCHEVILLE POLICE DEPARTMENT,LA0050900
PLEASANT HILL POLICE DEPARTMENT,LA0430400
POLLOCK POLICE DEPARTMENT,LA0220500
PONCHATOULA POLICE DEPARTMENT,LA0530300
PORT ALLEN POLICE DEPARTMENT,LA0610100
PORT BARRE POLICE DEPARTMENT,LA0490600
PORT VINCENT POLICE DEPARTMENT,LA0320600
POWHATAN POLICE DEPARTMENT,LA0350800
PROVENCAL POLICE DEPARTMENT,LA0350300
QUITMAN POLICE DEPARTMENT,LA0250600
RAYNE POLICE DEPARTMENT,LA0010200
RAYVILLE POLICE DEPARTMENT,LA0420200
REEVES POLICE DEPARTMENT,LA0020500
RICHMOND POLICE DEPARTMENT,LA0330400
RICHWOOD POLICE DEPARTMENT,LA0370500
RIDGECREST POLICE DEPARTMENT,LA0150400
RINGGOLD POLICE DEPARTMENT,LA0070900
ROBELINE POLICE DEPARTMENT,LA0350600
RODESSA POLICE DEPARTMENT,LA0090900
ROSEDALE POLICE DEPARTMENT,LA0240500
ROSELAND POLICE DEPARTMENT,LA0530600
