Agency Name,ORI Number
HOSSTON POLICE DEPARTMENT,LA0090700
HOUMA POLICE DEPARTMENT,LA0550100
IBERIA PARISH SHERIFF'S OFFICE,LA0230000
IBERVILLE PARISH SHERIFF'S OFFICE,LA0240000
IDA POLICE DEPARTMENT,LA0090800
INDEPENDENCE POLICE DEPARTMENT,LA0530500
IOTA POLICE DEPARTMENT,LA0010400
IOWA POLICE DEPARTMENT,LA0100700
JACKSON PARISH SHERIFF'S OFFICE,LA0250000
JACKSON POLICE DEPARTMENT,LA0190200
JAMESTOWN POLICE DEPARTMENT,LA0070500
JEAN LAFITTE POLICE DEPARTMENT,LA0260600
JEANERETTE POLICE DEPARTMENT,LA0230200
JEFFERSON DAVIS PARISH SHERIFF'S OFFICE,LA0270000
JEFFERSON PARISH SHERIFF'S OFFICE,LA0260000
JENA POLICE DEPARTMENT,LA0300100
JENNINGS POLICE DEPARTMENT,LA0270200
JONESBORO POLICE DEPARTMENT,LA0250100
JONESVILLE POLICE DEPARTMENT,LA0130100
JUNCTION CITY POLICE DEPARTMENT,LA0560500
KAPLAN POLICE DEPARTMENT,LA0570200
KEACHI POLICE DEPARTMENT,LA0160500
KENNER POLICE DEPARTMENT,LA0260300
KENTWOOD POLICE DEPARTMENT,LA0530200
KILBOURNE POLICE DEPARTMENT,LA0620300
KILLIAN POLICE DEPARTMENT,LA0320800
KINDER POLICE DEPARTMENT,LA0020100
KROTZ SPRINGS POLICE DEPARTMENT,LA0490800
LA SALLE PARISH SHERIFF'S OFFICE,LA0300000
LA STATE UNIV PD EUNICE,LA0491300
LAFAYETTE PARISH SHERIFF'S OFFICE,LA0280000
LAFAYETTE POLICE DEPARTMENT,LA0280300
LAFOURCHE PARISH SHERIFF'S OFFICE,LA0290000
LAKE ARTHUR POLICE DEPARTMENT,LA0270300
LAKE CHARLES POLICE DEPARTMENT,LA0100200
LAKE PROVIDENCE POLICE DEPARTMENT,LA0180100
LECOMPTE POLICE DEPARTMENT,LA0400400
LEESVILLE POLICE DEPARTMENT,LA0580100
LEONVILLE POLICE DEPARTMENT,LA0491000
LILLIE POLICE DEPARTMENT,LA0560700
LINCOLN PARISH SHERIFF'S OFFICE,LA0310000
LISBON POLICE DEPARTMENT,LA0140400
LIVINGSTON PARISH SHERIFF'S OFFICE,LA0320000
LIVINGSTON POLICE DEPARTMENT,LA0320200
LIVONIA POLICE DEPARTMENT,LA0390300
LOCKPORT POLICE DEPARTMENT,LA0290300
LOGANSPORT POLICE DEPARTMENT,LA0160200
LONGSTREET POLICE DEPARTMENT,LA0160600
LOREAUVILLE PD,LA0230400
LOREAUVILLE POLICE DEPARTMENT,LA0230400
LOUISIANA STATE POLICE,LALSP0000
LOUISIANA STATE UNIVERSITY - SHREVEPORT POLICE,LA0080600
LOUISIANA STATE UNIVERSITY HEALTH SCIENCES CENTER,LA0080500
LOUISIANA STATE UNIVERSITY POLICE DEPARTMENT,LA0170400
LOUISIANA TECH UNIVERSITY POLICE,LA0310700
LSU ALEXANDRIA POLICE DEPARTMENT,LA0401400
LSU HEALTH SCIENCES CENTER POLICE DEPARTMENT,LA0361700
LUTCHER POLICE DEPARTMENT,LA0470100
MADISON PARISH SHERIFF'S OFFICE,LA0330000
MADISONVILLE POLICE DEPARTMENT,LA0520800
MAMOU POLICE DEPARTMENT,LA0200200
MANDEVILLE POLICE DEPARTMENT,LA0520300
MANGHAM POLICE DEPARTMENT,LA0420300
MANSFIELD POLICE DEPARTMENT,LA0160100
MANSURA POLICE DEPARTMENT,LA0050500
MANY POLICE DEPARTMENT,LA0430100
MAPLEWOOD PD,LA0100600
MAPLEWOOD POLICE DEPARTMENT - CANT FIND ON GOOGLE,LA0100600
MARINGOUIN POLICE DEPARTMENT,LA0240100
MARION POLICE DEPARTMENT,LA0560400
MARKSVILLE POLICE DEPARTMENT,LA0050200
MARTIN POLICE DEPARTMENT,LA0410400
MAURICE POLICE DEPARTMENT,LA0570600
MCNARY POLICE DEPARTMENT,LA0401300
MCNEESE STATE UNIVERSITY POLICE,LA0100800
MELVILLE POLICE DEPARTMENT,LA0490700
MER ROUGE POLICE DEPARTMENT,LA0340200
MERMENTAU POLICE DEPARTMENT,LA0010600
MERRYVILLE POLICE DEPARTMENT,LA0060200
MINDEN POLICE DEPARTMENT,LA0600100
MISSISSIPPI RIVER BRIDGE POLICE DEPARTMENT,LA0361300
MONROE POLICE DEPARTMENT,LA0370100
MONTGOMERY POLICE DEPARTMENT,LA0220200
MONTPELIER POLICE DEPARTMENT,LA0460200
MOORINGSPORT POLICE DEPARTMENT,LA0090600
MOREAUVILLE POLICE DEPARTMENT,LA0050600
MOREHOUSE PARISH SHERIFF'S OFFICE,LA0340000
MORGAN CITY POLICE DEPARTMENT,LA0510300
MORGANZA POLICE DEPARTMENT,LA0390200
MORSE POLICE DEPARTMENT,LA0010700
MOUND POLICE DEPARTMENT,LA0330300
MOUNT LEBANON POLICE DEPARTMENT,LA0070600
NAPOLEONVILLE POLICE DEPARTMENT,LA0040100
NATCHEZ POLICE DEPARTMENT,LA0350900
NATCHITOCHES PARISH SHERIFF'S OFFICE,LA0350000
NATCHITOCHES POLICE DEPARTMENT,LA0350100
NEW IBERIA PD,LA0230300
NEW IBERIA POLICE DEPARTMENT,LA0230300
NEW LLANO POLICE DEPARTMENT,LA0580200
NEW ORLEANS POLICE DEPARTMENT,LANPD0000
NEW ROADS POLICE DEPARTMENT,LA0390100
NEWELLTON POLICE DEPARTMENT,LA0540100
NICHOLLS STATE UNIVERSITY POLICE,LA0290600
NOBLE POLICE DEPARTMENT,LA0430600
NORTH HODGE POLICE DEPARTMENT,LA0250300
NORTHWESTERN STATE UNIVERSITY OF LOUISIANA POLICE,LA0351000
NORWOOD POLICE DEPARTMENT,LA0190500
NORWOOD POLICE DEPT,LA0190500
OAK GROVE POLICE DEPARTMENT,LA0620100
OAK RIDGE POLICE DEPARTMENT,LA0340500
OAK RIDGE POLICE DEPT,LA0340500
OAKDALE POLICE DEPARTMENT,LA0020200
OBERLIN POLICE DEPARTMENT,LA0020300
OIL CITY POLICE DEPARTMENT,LA0090300
OLLA POLICE DEPARTMENT,LA0300200
OPELOUSAS POLICE DEPARTMENT,LA0490200
ORLEANS LEVEE BOARD POLICE DEPARTMENT,LA0361400
ORLEANS PARISH SHERIFF'S OFFICE (CRIMINAL DIVISION,LA0360000
OUACHITA PARISH SHERIFF'S OFFICE,LA0370000
PALMETTO POLICE DEPARTMENT,LA0491100
PARKS POLICE DEPARTMENT,LA0500300
PATTERSON POLICE DEPARTMENT,LA0510400
PEARL RIVER POLICE DEPARTMENT,LA0520500
PINE PRAIRIE POLICE DEPARTMENT,LA0200400
PINEVILLE POLICE DEPARTMENT,LA0400200
